black blackness blacken	white
notice discover observe detect find	
commando ranger	
labour toil grind fag labor dig	
insisting insistence insist assert	
ignorant unwitting illiterate	
genial mental	physical
braid plait twist	
turn plow plowed plough ploughed	
couch lounge sofa	
reliance confidence cartel rely combine hope bank trust	distrust mistrust
hardy fearless brave dauntless intrepid insolent bodacious audacious brazen daring	
acquire evolve develop	
behave move do number bit work routine act represent	refrain
sum content core centre center heart meat gist substance kernel	
spray spraying	
tab tablet pill	
charmer smoothie	
resist defy hold refuse dare withstand	
itinerant gypsy gipsy	
departure allow lead will forget depart leaving bequeath	enter arrive
pinch pluck tweak	
look appear seem	
motorcycle bike rhythm motorbike hertz wheel cps cycle bicycle pedal	
hogwash bunk guff rot	
earshot see audience hearing listening audition learn listen try	deaf
shed make confuse drop have hold fox confound thrust give	
ill ailment complaint	
buzz hum	
habitation home dwelling abode domicile	
trophy prize	
emptying evacuation elimination	
attain grasp make contact achieve strive range touch pass reaching	
crook outlaw twist curve criminal bend felon turn	
trill shake warble	
measure criterion standard touchstone	
speculate contemplate study mull ponder meditate reflect muse	
wad block obstruct ram pack mob throng jam cram	free
free rid	
union pairing couple match coupling mate pair mating twin copulate	
hearty strong satisfying solid unanimous whole square firm	hollow liquid
satisfaction gratification atonement	dissatisfaction
treasured cherished need want precious wanted desire require	unwanted
determine decide settle resolve	
roast rib guy ridicule	
analyze discipline report canvas study subject work consider learn read	
rally summon muster	
counter echo replica return retort replication reproduction comeback	
knock criticise criticize	praise
confinement labour push proletariat toil fag grind drive labor dig	
experiment experimentation	
intrigue enchant fascinate grip trance capture entrance catch charm	
program platform	
gravy windfall bonanza boom godsend	
faction sect cabal	
submissive subservient	domineering
tibia shin	
imaging vision imagery imagination resource resourcefulness	
refreshment recreation diversion	
slingshot catapult sling	
outrageous exorbitant horrific unconscionable steep horrid hideous	
leash leading top extend tip steer star pass	follow deficit
stutter stammer falter bumble	
shore land prop	
shootout gunfight	
opportunist opportunistic	
punt gambling gaming play gage game stake back	
skid slither glide slip slide chute swoop slew coast	
excuse apologize rationalize justify apologise	
provincial peasant	cosmopolitan
drugstore pharmacy	
wanker tosser	
reactive responsive	unresponsive
comparing compare comparison	
shoe horseshoe	
fouled funky revolting skanky filthy stinking cheating distasteful choke	fair
storekeeper shopkeeper tradesman	
teatime tea	
nurture surrogate further foster	
acquit discharge clear exonerate	convict
friction rubbing clash	
trafficker seller vendor	
snatcher abductor kidnapper	
ii deuce two	
abundantly profusely	
owl hooter	
swagger cock ruffle strut prance sashay	
invest gift empower endowed	
grouch scold crank grumble grump	
triad trine leash trey threesome trio three trinity	
narrative story fib narration tale	
destruct destroy	
leftover funny odd uneven left rum rummy unmatched curious	even
sum core centre center meat heart gist substance kernel nub	
fable fabrication fiction	
shipwreck crash wreck	
earnest solemn sincere	insincere
triad trine leash trey threesome trio three trinity	
thoughtful attentive	thoughtless
troop march parade promenade exhibit	
feller lumberjack	
dislike disapproval	liking like
bear wear wearable break don endure fag bust assume	refresh
hostage surety	
dopey jerking jerk foolish jerky choppy	
write save compose publish pen spell	
clique camp pack	
hold guard guarded defend restrained ward	
rise wax climb mount full	wane
instant twinkling flash heartbeat jiffy wink	
decide answer resolving purpose dissolve resolution solve conclude resolve settle	
raise conjure elicit evoke evoked provoke extract invoke kindle suggest	
patrol police	
contract specify specialize specialise narrow	diversify widen
discharge expelling emission	
jazzy showy sporting sporty gaudy clean flashy	
involve need needs ask want motive take demand inevitably necessarily	
crimp twirl kink twist curve curl rick crick	
vacation holiday	
honor observe respect prize esteem value honour	disrespect
lifetime lifespan life	
mechanics mechanism	
envision exposure visualise show icon depict impression depiction see figure	
roast rib costa guy ridicule	
crumple pucker ruffle crease knit wrinkle rumple	
tragedy catastrophe cataclysm disaster calamity	
eyelid lid	
house polarity contract signal bless signaling subscribe mansion mark sign	
chip nick	
reformer crusader	
quite rather	
force burden core gist upshot effect event outcome essence effects	
molestation harassment	
highschool high	
look depend figure cypher aim calculate account bet count cipher	
hostel inn lodge	
edifice building	
lead top topped pinch transcend exceed overstep pass crown	topless
shouting inspire cheering cheer satisfying urge comforting recreate barrack	complain
rejoin repay retort return	
realise acquit net top illuminate authorize	convict bounce overcast clutter
nutcase spook creep looney crazy weirdo loony	
heart spunk mettle nerve	
farfetched implausible	plausible
chick dame dolly doll skirt bird wench	
program programme plan broadcast platform syllabus curriculum	
supernatural occult	natural
waver weave wander tissue weaving wind thread	
spot snoop sleuth stag spy sight	
receive observe bump feel incur find happen chance detect	lose
strictly purely	
aether ether	
buzz hum	
heroic heroics	
airman flyer aviator flier	
termination destination terminal term depot terminus	
beat pound thumping thud clunk thump clump poke	
twain twosome dyad couplet couple duet pair duo span yoke	
hammerhead knucklehead bonehead blockhead dunce	
mag magazine	
wad parcel clump pack bundle packet pile package compact cluster	
contemplation reflection	
normalcy normality	abnormality
tablet tab check tabloid chit pill	
deduct subtract	add
correctly aright right	wrongly incorrectly
gem muffin	
lead contain hold curb soften moderate chair control check mince	
knave rascal rogue	
marking mark marker	
dozen twelve	
bun roll	
beat circumvent outsmart outwit	
please delight pleased	displeased displease
beat ram pound impound lumber thump poke	
persist tend feed flow hunt execute extend ravel	malfunction idle
move motivate incite prod propel instigate prompt	
officially formally	informally
loose undo loosen untie tease relax	stiffen
continuous uninterrupted	
shining showy glistening slick glossy shiny	
canny clever cagey	
deceit deception	
entail implicate	
ant emmet	
diarrhoea diarrhea	
pretty slightly jolly reasonably somewhat moderately fairly	
office way bureau authority agency representation means	
nerd mill labour grate toil grind fag bray dweeb crunch	
bivouac camp tent	
procure batten secure fix guarantee plug insure ensure assure fasten	
mouldy musty moldy	
fell disappear vaporize vanish fly	appear
bring bestow sum add contribute lend tot impart total	subtract
comment observe mention remark input note notice	
hurried speed hasten hurry zip rush	delay
directive guiding directional directing	
prowess art artistry	
atm atmosphere	
shaft quill	
representative congresswoman congressman	
reclaim reform rectify reformed regenerate	
correspond match compare equal equate	
unstuck undone	stuck
global worldwide world spherical planetary	
pit target quarry prey	
launder washout wash laundry rinse washing slipstream dampen lap race	
oil anoint oiled	
flourish beckon wave curl flap roll	
incline qualify dispose fling discard toss	disqualify
blare bender honk toot beep	
gee g	
cleave part break divide tear fragmented split rent snag	unite
puffer blowfish	
trustworthy trusty	untrustworthy
friction skirmish clang clank crash jar clash collide encounter brush	
dog chase bob tail tag tailing trail track shadowing dock	
interrogation enquiry query inquiry research question	answer
bar beat assess bill step quantity criterion meter cadence standard	
quarrel course wrangle row rowing words	
dearth shortage deficit famine	
breathless inanimate	animate
harsh rough abrasive coarse	fine
beat stick puzzle vex gravel perplexed complicate pose get	simplify
reduce centre center pore hard saturated concentrate digest	distributed soft
make trademark stigma sword denounce brand post blade mark steel	
clink lag jug remand imprison pokey jailhouse jail slammer	
silence quiet still hush quieten calm lull	agitate
sum lug add tot tally tug total tote	
skim aeroplane airplane plan sheet design shave plane project	
reap crop glean harvest harvesting	
punishment penalty	reward
dumb tiresome boring slack easy behind dense	quickly fast accelerate
equestrian horseman	
trusty trustworthy	untrustworthy
tattletale telltale telling revealing blabbermouth	
deserve merit	
pollute foul contaminate	
live inhabit harp lie domicile habitation consist populate dwell home	
trunk body torso	
gestation maternity pregnancy	
